Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"FoodMazaPos.exe","41,807",0,100.00,0.00,"",
0,"FoodMazaPos.Program.Main","35,334",0,84.52,0.00,"FoodMazaPos.exe",
1,"[System.Windows.Forms.ni.dll]","35,334","13,781",84.52,32.96,"System.Windows.Forms.ni.dll",
2,"FoodMazaPos.Cashier.button1_Click","12,125",1,29.00,0.00,"FoodMazaPos.exe",
3,"[System.Drawing.ni.dll]","9,989",29,23.89,0.07,"System.Drawing.ni.dll",
4,"[winspool.drv]","9,804",0,23.45,0.00,"winspool.drv",
5,"[winspool.drv]","9,804",0,23.45,0.00,"winspool.drv",
6,"[winspool.drv]","9,798",0,23.44,0.00,"winspool.drv",
7,"[comdlg32.dll]","9,665",0,23.12,0.00,"comdlg32.dll",
8,"[comdlg32.dll]","9,639",0,23.06,0.00,"comdlg32.dll",
9,"[user32.dll]","9,593",955,22.95,2.28,"user32.dll",
10,"[comdlg32.dll]","4,659",0,11.14,0.00,"comdlg32.dll",
11,"[comdlg32.dll]","4,473",0,10.70,0.00,"comdlg32.dll",
12,"[comdlg32.dll]","3,781",1,9.04,0.00,"comdlg32.dll",
13,"[comdlg32.dll]","2,800",0,6.70,0.00,"comdlg32.dll",
14,"[shell32.dll]","1,959",325,4.69,0.78,"shell32.dll",
15,"[dui70.dll]",950,1,2.27,0.00,"dui70.dll",
16,"[dui70.dll]",946,4,2.26,0.01,"dui70.dll",
17,"[dui70.dll]",935,4,2.24,0.01,"dui70.dll",
18,"[dui70.dll]",815,2,1.95,0.00,"dui70.dll",
19,"[dui70.dll]",630,5,1.51,0.01,"dui70.dll",
20,"[dui70.dll]",602,8,1.44,0.02,"dui70.dll",
21,"[dui70.dll]",578,11,1.38,0.03,"dui70.dll",
22,"[shell32.dll]",430,16,1.03,0.04,"shell32.dll",
23,"[comdlg32.dll]",305,1,0.73,0.00,"comdlg32.dll",
24,"[comdlg32.dll]",264,0,0.63,0.00,"comdlg32.dll",
25,"[comdlg32.dll]",238,0,0.57,0.00,"comdlg32.dll",
26,"[comdlg32.dll]",213,0,0.51,0.00,"comdlg32.dll",
27,"[shell32.dll]",103,85,0.25,0.20,"shell32.dll",
28,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",11,0,0.03,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",10,0,0.02,0.00,"clbcatq.dll",
35,"[clbcatq.dll]",7,0,0.02,0.00,"clbcatq.dll",
36,"[KernelBase.dll]",4,4,0.01,0.01,"KernelBase.dll",
36,"[clbcatq.dll]",3,0,0.01,0.00,"clbcatq.dll",
37,"[KernelBase.dll]",3,3,0.01,0.01,"KernelBase.dll",
35,"[KernelBase.dll]",3,3,0.01,0.01,"KernelBase.dll",
34,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
33,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
33,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
28,"[tiptsf.dll]",4,0,0.01,0.00,"tiptsf.dll",
29,"[tiptsf.dll]",4,0,0.01,0.00,"tiptsf.dll",
30,"[tiptsf.dll]",2,0,0.00,0.00,"tiptsf.dll",
31,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
31,"[tiptsf.dll]",1,0,0.00,0.00,"tiptsf.dll",
32,"[tiptsf.dll]",1,0,0.00,0.00,"tiptsf.dll",
33,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
30,"[win32u.dll]",2,2,0.00,0.00,"win32u.dll",
27,"[combase.dll]",68,24,0.16,0.06,"combase.dll",
28,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",40,1,0.10,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",38,0,0.09,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",36,0,0.09,0.00,"clbcatq.dll",
35,"[clbcatq.dll]",28,0,0.07,0.00,"clbcatq.dll",
36,"[KernelBase.dll]",18,18,0.04,0.04,"KernelBase.dll",
36,"[clbcatq.dll]",10,0,0.02,0.00,"clbcatq.dll",
37,"[KernelBase.dll]",9,9,0.02,0.02,"KernelBase.dll",
37,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
35,"[KernelBase.dll]",8,8,0.02,0.02,"KernelBase.dll",
34,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
34,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
33,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
32,"[KernelBase.dll]",4,4,0.01,0.01,"KernelBase.dll",
27,"[user32.dll]",29,29,0.07,0.07,"user32.dll",
27,"[comdlg32.dll]",13,0,0.03,0.00,"comdlg32.dll",
28,"[combase.dll]",8,3,0.02,0.01,"combase.dll",
29,"[clbcatq.dll]",5,0,0.01,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",5,0,0.01,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",5,0,0.01,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",5,0,0.01,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",4,0,0.01,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",4,0,0.01,0.00,"clbcatq.dll",
35,"[clbcatq.dll]",4,0,0.01,0.00,"clbcatq.dll",
36,"[clbcatq.dll]",3,0,0.01,0.00,"clbcatq.dll",
37,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
37,"[clbcatq.dll]",1,0,0.00,0.00,"clbcatq.dll",
38,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
36,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
33,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
28,"[comdlg32.dll]",4,0,0.01,0.00,"comdlg32.dll",
29,"[uxtheme.dll]",4,4,0.01,0.01,"uxtheme.dll",
28,"[win32u.dll]",1,1,0.00,0.00,"win32u.dll",
26,"[user32.dll]",15,14,0.04,0.03,"user32.dll",
27,"[atlthunk.dll]",1,1,0.00,0.00,"atlthunk.dll",
26,"[uxtheme.dll]",10,10,0.02,0.02,"uxtheme.dll",
25,"[combase.dll]",25,7,0.06,0.02,"combase.dll",
26,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
27,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
28,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",16,0,0.04,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",15,0,0.04,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",12,0,0.03,0.00,"clbcatq.dll",
34,"[KernelBase.dll]",7,7,0.02,0.02,"KernelBase.dll",
34,"[clbcatq.dll]",5,1,0.01,0.00,"clbcatq.dll",
35,"[KernelBase.dll]",4,4,0.01,0.01,"KernelBase.dll",
33,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
32,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
31,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
30,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
25,"[shlwapi.dll]",1,1,0.00,0.00,"shlwapi.dll",
24,"[user32.dll]",38,37,0.09,0.09,"user32.dll",
25,"[safemon.dll]",1,1,0.00,0.00,"safemon.dll",
24,"[win32u.dll]",1,1,0.00,0.00,"win32u.dll",
24,"[SHCore.dll]",1,1,0.00,0.00,"SHCore.dll",
23,"[atlthunk.dll]",108,0,0.26,0.00,"atlthunk.dll",
24,"[duser.dll]",108,0,0.26,0.00,"duser.dll",
25,"[user32.dll]",107,105,0.26,0.25,"user32.dll",
26,"[comdlg32.dll]",2,0,0.00,0.00,"comdlg32.dll",
27,"[comctl32.dll]",2,2,0.00,0.00,"comctl32.dll",
25,"[dui70.dll]",1,1,0.00,0.00,"dui70.dll",
23,"[duser.dll]",1,0,0.00,0.00,"duser.dll",
24,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
22,"[dui70.dll]",123,10,0.29,0.02,"dui70.dll",
23,"[dui70.dll]",104,4,0.25,0.01,"dui70.dll",
24,"[dui70.dll]",94,0,0.22,0.00,"dui70.dll",
25,"[shell32.dll]",69,19,0.17,0.05,"shell32.dll",
26,"[ExplorerFrame.dll]",43,0,0.10,0.00,"ExplorerFrame.dll",
27,"[ExplorerFrame.dll]",43,0,0.10,0.00,"ExplorerFrame.dll",
28,"[ExplorerFrame.dll]",36,0,0.09,0.00,"ExplorerFrame.dll",
29,"[ExplorerFrame.dll]",29,0,0.07,0.00,"ExplorerFrame.dll",
30,"[shell32.dll]",18,1,0.04,0.00,"shell32.dll",
31,"[ExplorerFrame.dll]",16,0,0.04,0.00,"ExplorerFrame.dll",
32,"[ExplorerFrame.dll]",14,0,0.03,0.00,"ExplorerFrame.dll",
33,"[ExplorerFrame.dll]",14,0,0.03,0.00,"ExplorerFrame.dll",
34,"[ExplorerFrame.dll]",14,0,0.03,0.00,"ExplorerFrame.dll",
35,"[user32.dll]",13,0,0.03,0.00,"user32.dll",
36,"[ExplorerFrame.dll]",13,0,0.03,0.00,"ExplorerFrame.dll",
37,"[ExplorerFrame.dll]",13,0,0.03,0.00,"ExplorerFrame.dll",
38,"[comctl32.dll]",13,0,0.03,0.00,"comctl32.dll",
39,"[atlthunk.dll]",13,0,0.03,0.00,"atlthunk.dll",
40,"[duser.dll]",13,0,0.03,0.00,"duser.dll",
41,"[user32.dll]",10,0,0.02,0.00,"user32.dll",
42,"[ExplorerFrame.dll]",10,0,0.02,0.00,"ExplorerFrame.dll",
43,"[comctl32.dll]",10,0,0.02,0.00,"comctl32.dll",
44,"[ExplorerFrame.dll]",10,0,0.02,0.00,"ExplorerFrame.dll",
45,"[ExplorerFrame.dll]",10,0,0.02,0.00,"ExplorerFrame.dll",
46,"[ExplorerFrame.dll]",10,0,0.02,0.00,"ExplorerFrame.dll",
47,"[ExplorerFrame.dll]",10,0,0.02,0.00,"ExplorerFrame.dll",
48,"[ExplorerFrame.dll]",4,0,0.01,0.00,"ExplorerFrame.dll",
49,"[ole32.dll]",1,1,0.00,0.00,"ole32.dll",
49,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
49,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
50,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
51,"[windows.storage.dll]",1,1,0.00,0.00,"windows.storage.dll",
49,"[SHCore.dll]",1,1,0.00,0.00,"SHCore.dll",
48,"[shell32.dll]",4,4,0.01,0.01,"shell32.dll",
48,"[user32.dll]",2,1,0.00,0.00,"user32.dll",
49,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
50,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
51,"[comctl32.dll]",1,1,0.00,0.00,"comctl32.dll",
41,"[dui70.dll]",3,0,0.01,0.00,"dui70.dll",
42,"[shell32.dll]",3,2,0.01,0.00,"shell32.dll",
43,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
44,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
35,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
36,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
32,"[windows.storage.dll]",2,1,0.00,0.00,"windows.storage.dll",
33,"[DropboxExt.26.0.dll]",1,0,0.00,0.00,"DropboxExt.26.0.dll",
34,"[windows.storage.dll]",1,1,0.00,0.00,"windows.storage.dll",
31,"[DropboxExt.26.0.dll]",1,0,0.00,0.00,"DropboxExt.26.0.dll",
32,"[windows.storage.dll]",1,1,0.00,0.00,"windows.storage.dll",
30,"[windows.storage.dll]",4,4,0.01,0.01,"windows.storage.dll",
30,"[user32.dll]",4,0,0.01,0.00,"user32.dll",
31,"[ExplorerFrame.dll]",4,0,0.01,0.00,"ExplorerFrame.dll",
32,"[ExplorerFrame.dll]",4,0,0.01,0.00,"ExplorerFrame.dll",
33,"[comctl32.dll]",4,4,0.01,0.01,"comctl32.dll",
30,"[combase.dll]",2,2,0.00,0.00,"combase.dll",
30,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
31,"[shell32.dll]",1,1,0.00,0.00,"shell32.dll",
29,"[user32.dll]",6,0,0.01,0.00,"user32.dll",
30,"[ExplorerFrame.dll]",6,0,0.01,0.00,"ExplorerFrame.dll",
31,"[ExplorerFrame.dll]",6,0,0.01,0.00,"ExplorerFrame.dll",
32,"[comctl32.dll]",6,1,0.01,0.00,"comctl32.dll",
33,"[atlthunk.dll]",5,0,0.01,0.00,"atlthunk.dll",
34,"[duser.dll]",5,0,0.01,0.00,"duser.dll",
35,"[dui70.dll]",4,1,0.01,0.00,"dui70.dll",
36,"[shell32.dll]",3,3,0.01,0.01,"shell32.dll",
35,"[user32.dll]",1,0,0.00,0.00,"user32.dll",
36,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
37,"[comctl32.dll]",1,0,0.00,0.00,"comctl32.dll",
38,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
39,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
40,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
41,"[ExplorerFrame.dll]",1,0,0.00,0.00,"ExplorerFrame.dll",
42,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
29,"[shell32.dll]",1,1,0.00,0.00,"shell32.dll",
28,"[windows.storage.dll]",3,3,0.01,0.01,"windows.storage.dll",
28,"[user32.dll]",2,0,0.00,0.00,"user32.dll",
29,"[ExplorerFrame.dll]",2,0,0.00,0.00,"ExplorerFrame.dll",
30,"[ExplorerFrame.dll]",2,0,0.00,0.00,"ExplorerFrame.dll",
31,"[comctl32.dll]",2,2,0.00,0.00,"comctl32.dll",
28,"[comdlg32.dll]",1,0,0.00,0.00,"comdlg32.dll",
29,"[comdlg32.dll]",1,0,0.00,0.00,"comdlg32.dll",
30,"[shell32.dll]",1,1,0.00,0.00,"shell32.dll",
28,"[combase.dll]",1,1,0.00,0.00,"combase.dll",
26,"[clbcatq.dll]",6,0,0.01,0.00,"clbcatq.dll",
27,"[clbcatq.dll]",6,0,0.01,0.00,"clbcatq.dll",
28,"[clbcatq.dll]",6,0,0.01,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",6,0,0.01,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",5,0,0.01,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",3,0,0.01,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",3,0,0.01,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",2,0,0.00,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",1,0,0.00,0.00,"clbcatq.dll",
35,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
34,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
33,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
31,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
30,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
26,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
27,"[dui70.dll]",1,1,0.00,0.00,"dui70.dll",
25,"[dui70.dll]",23,0,0.06,0.00,"dui70.dll",
26,"[dui70.dll]",21,2,0.05,0.00,"dui70.dll",
27,"[dui70.dll]",8,0,0.02,0.00,"dui70.dll",
28,"[dui70.dll]",8,1,0.02,0.00,"dui70.dll",
29,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
30,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
31,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
32,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
33,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
34,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
35,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
36,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
37,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
38,"[dui70.dll]",4,0,0.01,0.00,"dui70.dll",
39,"[dui70.dll]",3,0,0.01,0.00,"dui70.dll",
40,"[user32.dll]",3,3,0.01,0.01,"user32.dll",
39,"[shell32.dll]",1,0,0.00,0.00,"shell32.dll",
40,"[comdlg32.dll]",1,0,0.00,0.00,"comdlg32.dll",
41,"[comdlg32.dll]",1,0,0.00,0.00,"comdlg32.dll",
42,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
29,"[win32u.dll]",2,2,0.00,0.00,"win32u.dll",
29,"[uxtheme.dll]",1,1,0.00,0.00,"uxtheme.dll",
27,"[comctl32.dll]",6,6,0.01,0.01,"comctl32.dll",
27,"[user32.dll]",3,3,0.01,0.01,"user32.dll",
27,"[gdi32.dll]",2,2,0.00,0.00,"gdi32.dll",
26,"[user32.dll]",2,2,0.00,0.00,"user32.dll",
25,"[uxtheme.dll]",2,2,0.00,0.00,"uxtheme.dll",
24,"[ntdll.dll]",2,2,0.00,0.00,"ntdll.dll",
24,"[msvcrt.dll]",2,2,0.00,0.00,"msvcrt.dll",
24,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
24,"[gdi32.dll]",1,1,0.00,0.00,"gdi32.dll",
23,"[user32.dll]",5,5,0.01,0.01,"user32.dll",
23,"[msvcrt.dll]",2,2,0.00,0.00,"msvcrt.dll",
23,"[kernel32.dll]",1,1,0.00,0.00,"kernel32.dll",
23,"[ntdll.dll]",1,1,0.00,0.00,"ntdll.dll",
22,"[msvcrt.dll]",6,6,0.01,0.01,"msvcrt.dll",
22,"[kernel32.dll]",4,4,0.01,0.01,"kernel32.dll",
22,"[ntdll.dll]",2,2,0.00,0.00,"ntdll.dll",
22,"[duser.dll]",1,0,0.00,0.00,"duser.dll",
23,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
22,"[ntdll.dll]",1,1,0.00,0.00,"ntdll.dll",
21,"[msvcrt.dll]",6,6,0.01,0.01,"msvcrt.dll",
21,"[ntdll.dll]",4,4,0.01,0.01,"ntdll.dll",
21,"[shell32.dll]",3,0,0.01,0.00,"shell32.dll",
22,"[dui70.dll]",3,1,0.01,0.00,"dui70.dll",
23,"[dui70.dll]",2,0,0.00,0.00,"dui70.dll",
24,"[dui70.dll]",2,0,0.00,0.00,"dui70.dll",
25,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
26,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
27,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
25,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
21,"[xmllite.dll]",2,0,0.00,0.00,"xmllite.dll",
22,"[xmllite.dll]",2,1,0.00,0.00,"xmllite.dll",
23,"[xmllite.dll]",1,0,0.00,0.00,"xmllite.dll",
24,"[xmllite.dll]",1,0,0.00,0.00,"xmllite.dll",
25,"[xmllite.dll]",1,1,0.00,0.00,"xmllite.dll",
21,"[duser.dll]",1,0,0.00,0.00,"duser.dll",
22,"[duser.dll]",1,1,0.00,0.00,"duser.dll",
20,"[KernelBase.dll]",10,10,0.02,0.02,"KernelBase.dll",
20,"[msvcrt.dll]",8,8,0.02,0.02,"msvcrt.dll",
20,"[xmllite.dll]",3,0,0.01,0.00,"xmllite.dll",
21,"[xmllite.dll]",3,0,0.01,0.00,"xmllite.dll",
22,"[xmllite.dll]",3,0,0.01,0.00,"xmllite.dll",
23,"[xmllite.dll]",3,1,0.01,0.00,"xmllite.dll",
24,"[xmllite.dll]",2,2,0.00,0.00,"xmllite.dll",
20,"[ntdll.dll]",1,1,0.00,0.00,"ntdll.dll",
20,"[shell32.dll]",1,0,0.00,0.00,"shell32.dll",
21,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
22,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
23,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
24,"[dui70.dll]",1,1,0.00,0.00,"dui70.dll",
19,"[shell32.dll]",173,0,0.41,0.00,"shell32.dll",
20,"[dui70.dll]",173,0,0.41,0.00,"dui70.dll",
21,"[shell32.dll]",173,0,0.41,0.00,"shell32.dll",
22,"[dui70.dll]",173,0,0.41,0.00,"dui70.dll",
23,"[shell32.dll]",172,0,0.41,0.00,"shell32.dll",
24,"[dui70.dll]",172,0,0.41,0.00,"dui70.dll",
25,"[shell32.dll]",165,42,0.39,0.10,"shell32.dll",
26,"[ExplorerFrame.dll]",105,0,0.25,0.00,"ExplorerFrame.dll",
27,"[ExplorerFrame.dll]",60,0,0.14,0.00,"ExplorerFrame.dll",
28,"[user32.dll]",52,52,0.12,0.12,"user32.dll",
28,"[uxtheme.dll]",5,5,0.01,0.01,"uxtheme.dll",
28,"[ExplorerFrame.dll]",2,0,0.00,0.00,"ExplorerFrame.dll",
29,"[SHCore.dll]",2,2,0.00,0.00,"SHCore.dll",
28,"[win32u.dll]",1,1,0.00,0.00,"win32u.dll",
27,"[ole32.dll]",28,8,0.07,0.02,"ole32.dll",
28,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",14,1,0.03,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",12,0,0.03,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",11,0,0.03,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",11,1,0.03,0.00,"clbcatq.dll",
35,"[clbcatq.dll]",9,0,0.02,0.00,"clbcatq.dll",
36,"[KernelBase.dll]",5,5,0.01,0.01,"KernelBase.dll",
36,"[clbcatq.dll]",4,0,0.01,0.00,"clbcatq.dll",
37,"[KernelBase.dll]",4,4,0.01,0.01,"KernelBase.dll",
35,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
33,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
32,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
28,"[DataExchange.dll]",6,0,0.01,0.00,"DataExchange.dll",
29,"[twinapi.appcore.dll]",6,0,0.01,0.00,"twinapi.appcore.dll",
30,"[twinapi.appcore.dll]",6,0,0.01,0.00,"twinapi.appcore.dll",
31,"[twinapi.appcore.dll]",5,0,0.01,0.00,"twinapi.appcore.dll",
32,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
32,"[user32.dll]",2,2,0.00,0.00,"user32.dll",
32,"[sechost.dll]",1,1,0.00,0.00,"sechost.dll",
31,"[combase.dll]",1,1,0.00,0.00,"combase.dll",
27,"[user32.dll]",12,9,0.03,0.02,"user32.dll",
28,"[ExplorerFrame.dll]",2,0,0.00,0.00,"ExplorerFrame.dll",
29,"[ExplorerFrame.dll]",2,0,0.00,0.00,"ExplorerFrame.dll",
30,"[comctl32.dll]",2,2,0.00,0.00,"comctl32.dll",
28,"[safemon.dll]",1,0,0.00,0.00,"safemon.dll",
29,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
27,"[comctl32.dll]",2,2,0.00,0.00,"comctl32.dll",
27,"[kernel32.dll]",1,1,0.00,0.00,"kernel32.dll",
27,"[win32u.dll]",1,1,0.00,0.00,"win32u.dll",
27,"[gdi32.dll]",1,1,0.00,0.00,"gdi32.dll",
26,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
27,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
28,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",18,0,0.04,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",17,0,0.04,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",14,1,0.03,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",13,0,0.03,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",10,0,0.02,0.00,"clbcatq.dll",
34,"[KernelBase.dll]",6,6,0.01,0.01,"KernelBase.dll",
34,"[clbcatq.dll]",4,0,0.01,0.00,"clbcatq.dll",
35,"[KernelBase.dll]",4,4,0.01,0.01,"KernelBase.dll",
33,"[KernelBase.dll]",3,3,0.01,0.01,"KernelBase.dll",
31,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
31,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
30,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
25,"[dui70.dll]",7,0,0.02,0.00,"dui70.dll",
26,"[user32.dll]",5,5,0.01,0.01,"user32.dll",
26,"[dui70.dll]",2,0,0.00,0.00,"dui70.dll",
27,"[user32.dll]",2,2,0.00,0.00,"user32.dll",
23,"[dui70.dll]",1,0,0.00,0.00,"dui70.dll",
24,"[duser.dll]",1,0,0.00,0.00,"duser.dll",
25,"[duser.dll]",1,1,0.00,0.00,"duser.dll",
19,"[xmllite.dll]",4,0,0.01,0.00,"xmllite.dll",
20,"[xmllite.dll]",4,0,0.01,0.00,"xmllite.dll",
21,"[xmllite.dll]",4,0,0.01,0.00,"xmllite.dll",
22,"[xmllite.dll]",3,2,0.01,0.00,"xmllite.dll",
23,"[xmllite.dll]",1,0,0.00,0.00,"xmllite.dll",
24,"[xmllite.dll]",1,0,0.00,0.00,"xmllite.dll",
25,"[xmllite.dll]",1,0,0.00,0.00,"xmllite.dll",
26,"[combase.dll]",1,1,0.00,0.00,"combase.dll",
22,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
19,"[ntdll.dll]",3,3,0.01,0.01,"ntdll.dll",
19,"[msvcrt.dll]",2,2,0.00,0.00,"msvcrt.dll",
19,"[user32.dll]",1,1,0.00,0.00,"user32.dll",
18,"[duser.dll]",110,0,0.26,0.00,"duser.dll",
19,"[duser.dll]",110,0,0.26,0.00,"duser.dll",
20,"[duser.dll]",110,0,0.26,0.00,"duser.dll",
21,"[duser.dll]",110,0,0.26,0.00,"duser.dll",
22,"[duser.dll]",110,0,0.26,0.00,"duser.dll",
23,"[dui70.dll]",109,0,0.26,0.00,"dui70.dll",
24,"[shell32.dll]",65,35,0.16,0.08,"shell32.dll",
25,"[atlthunk.dll]",30,0,0.07,0.00,"atlthunk.dll",
26,"[duser.dll]",30,0,0.07,0.00,"duser.dll",
27,"[user32.dll]",30,4,0.07,0.01,"user32.dll",
28,"[atlthunk.dll]",18,0,0.04,0.00,"atlthunk.dll",
29,"[duser.dll]",18,0,0.04,0.00,"duser.dll",
30,"[user32.dll]",18,18,0.04,0.04,"user32.dll",
28,"[comdlg32.dll]",8,0,0.02,0.00,"comdlg32.dll",
29,"[comctl32.dll]",8,1,0.02,0.00,"comctl32.dll",
